County,School,GradeTested,MathMetStandard,ReadingMetStandard,WritingMetStandard,ScienceMetStandard,MathTotalTested,ReadingTotalTested,WritingTotalTested,ScienceTotalTested,TotalEnrollment,PercentWhite,StudentsPerClassroomTeacher,FreeorReducedPricedMeals,AvgYearsEducationalExperience,PercentTeachersWithAtLeastMasterDegree
Clark,Felida Elementary School,5,87,106,NA,50,122,124,0,121,661,88.1997,21,10.119,15.8,81.3
Clark,Chinook Elementary School,5,89,107,NA,55,121,121,0,120,461,36.4425,16,57.9741,12,71.4
Clark,Roosevelt Elementary School,5,39,61,NA,23,84,81,0,80,382,64.1361,15,58.2245,14.3,69.2
Clark,Skyview High School,10,306,444,436,177,494,495,493,480,1892,87.315,21,11.5088,12.4,60
Clark,Hockinson Heights Intermediate,5,86,139,NA,47,153,153,0,153,478,95.3975,16,16.1702,18.9,76.7
Clark,La Center Elementary,5,63,81,NA,33,109,108,0,109,670,92.2388,24,22.5664,13.7,82.1
Clark,La Center High School,10,53,91,89,37,97,103,102,99,476,90.3361,21,18.0645,18.2,73.9
Clark,Green Mountain School,5,10,14,NA,9,15,15,0,15,121,92.562,20,24.1379,9.2,66.7
Clark,Excelsior High School,10,5,9,8,0,12,11,10,10,118,91.5254,39,42.1488,13.4,100
Clark,Hathaway Elementary,5,34,44,NA,24,58,59,0,58,444,86.036,17,54.8165,16,73.1
Clark,Gause Elementary,5,60,69,NA,43,90,90,0,90,513,91.6179,18,30.1527,10.2,62.1
Clark,Washougal High School,10,109,174,161,44,198,204,201,197,866,91.9169,17,26.7879,12.2,62
Clark,Cape Horn Skye Elementary,5,30,48,NA,12,67,67,0,63,379,91.8206,21,27.4869,15.2,50
Clark,Evergreen Internet Academy,10,5,13,15,3,11,17,15,10,92,82.6087,NA,13.1148,NA,NA
Clark,Evergreen High School,10,260,404,402,142,499,511,503,484,2314,81.4607,16,29.9679,13.2,66.4
Clark,Mill Plain Elementary School,5,46,68,NA,33,84,84,0,83,523,71.3193,13,47.9691,11.5,68.3
Clark,Orchards Elementary School,5,46,68,NA,19,110,109,0,117,604,69.8675,14,69.4859,9.7,66.7
Clark,Ellsworth Elementary School,5,41,66,NA,18,92,90,0,89,481,71.5177,14,39.0342,13.2,82.9
Clark,Sifton Elementary School,5,41,70,NA,28,106,107,0,106,612,75.9804,15,44.6541,10.5,78.6
Clark,Marrion Elementary School,5,39,50,NA,15,68,67,0,68,461,74.4035,14,40.7895,13.6,72.7
Clark,Burton Elementary School,5,56,72,NA,37,99,99,0,100,571,77.4081,11,49.639,12.4,63.5
Clark,Crestline Elementary School,5,44,62,NA,19,74,74,0,79,530,72.8302,14,55.1181,13.5,75.7
Clark,Silver Star Elementary School,5,59,73,NA,37,96,95,0,104,547,82.9982,14,46.9274,10.9,71.8
Clark,Sunset Elementary School,5,43,72,NA,24,93,94,0,93,567,78.836,14,42.132,10.5,67.5
Clark,Fircrest Elementary School,5,44,58,NA,28,74,74,0,74,479,83.0898,15,45.3191,15.1,72.7
Clark,Image Elementary School,5,103,116,NA,79,142,142,0,142,787,73.1893,20,46.0576,10.7,62.5
Clark,Riverview Elementary School,5,59,72,NA,32,86,86,0,92,471,77.9193,13,31.3808,9.9,77.1
Clark,Legacy High School,10,7,33,36,1,36,45,48,32,248,82.2581,NA,34.7826,NA,NA
Clark,Mountain View High School,10,318,482,464,225,525,536,528,519,2295,79.8257,20,21.379,14.1,71.9
Clark,Hearthwood Elementary School,5,61,80,NA,40,98,98,0,98,552,81.3406,15,44.7788,12.8,61.1
Clark,Burnt Bridge Creek Elementary Sch,5,45,74,NA,25,110,109,0,110,641,81.9033,13,36.7127,16,76.5
Clark,Harmony Elementary School,5,77,97,NA,41,121,121,0,119,755,77.6159,17,27.154,11.8,71.1
Clark,Pioneer Elementary School,5,62,85,NA,34,112,112,0,121,418,46.89,17,64.0732,11,45.8
Clark,Fishers Landing Elementary School,5,81,89,NA,63,94,94,0,94,622,70.7395,18,10.7425,13.7,57.1
Clark,Heritage High School,10,235,417,396,131,502,512,501,480,2369,79.9493,19,34.1678,12.1,60.5
Clark,Illahee Elementary School,5,54,71,NA,37,78,77,0,77,605,76.1983,16,24.6732,10.3,87.2
Clark,Lacamas Heights Elementary,5,72,94,NA,54,107,109,0,109,495,92.7273,16,15.4618,13.4,74.2
Clark,James David Zellerbach Elem Sch,5,127,180,NA,68,211,209,0,213,617,85.2512,15,19.1759,11.9,82.5
Clark,Dorothy Fox,5,72,86,NA,47,100,100,0,99,631,86.6878,17,15.311,12.5,65.8
Clark,Homelink Schools,5,11,21,NA,8,25,24,0,25,478,93.3054,11,8.65979,11.2,54.8
Clark,Homelink Schools,10,8,17,14,11,20,18,20,19,478,93.3054,11,8.65979,11.2,54.8
Clark,Cam Jr Sr High School,10,49,50,54,43,54,50,55,54,387,93.0233,NA,5.85106,NA,NA
Clark,Homelink River,5,23,31,NA,21,33,33,0,33,445,92.809,NA,7.94702,NA,NA
Clark,Homelink River,10,13,27,27,13,30,29,29,29,445,92.809,NA,7.94702,NA,NA
Clark,Battle Ground High School,10,210,366,363,106,440,445,441,434,2151,92.7476,20,28.4661,13.1,60.7
Clark,Amboy Middle School,5,60,85,NA,40,146,140,0,151,611,93.9444,17,39.6007,12.8,62.9
Clark,Laurin Middle School,5,75,111,NA,53,152,148,0,158,583,85.7633,18,31.1111,16.3,75
Clark,Pleasant Valley Middle,5,63,69,NA,33,106,104,0,108,450,90,17,19.2478,17.9,76.9
Clark,Prairie High School,10,209,294,303,141,321,324,319,314,1524,90.8136,23,17.8763,16.1,56.7
Clark,Maple Grove Middle,5,94,117,NA,62,162,162,0,182,684,90.2047,17,36.5103,13.8,80.5
Clark,Captain Strong,5,174,237,NA,112,283,287,0,290,864,92.4769,17,39.883,12.7,68
Clark,Summit View High School,10,12,29,28,6,30,36,31,28,391,91.3043,21,28.6353,20.1,68.4
Clark,Ridgefield High School,10,97,149,150,83,165,163,162,153,650,88.6154,19,0,14,71.4
Clark,South Ridge Elementary,5,53,74,NA,49,85,84,0,85,482,85.8921,18,0,13.7,88.9
Clark,Union Ridge Elementary,5,49,69,NA,33,88,90,0,89,521,90.0192,19,0,8.5,71.4
Columbia,Dayton High School,10,21,34,34,19,37,38,38,36,179,84.9162,8,35.6322,16.7,43.5
Columbia,Dayton Elementary School,5,26,35,NA,20,44,44,0,42,336,84.2262,18,53.5411,20,57.9
Cowlitz,Kessler Elementary School,5,27,44,NA,15,69,69,0,69,453,67.7704,17,76.8868,15.2,59.3
Cowlitz,Columbia Valley Garden Elem Schl,5,49,71,NA,30,88,88,0,87,404,84.4059,18,29.2383,17.7,72.7
Cowlitz,Saint Helens Elementary,5,7,14,NA,3,37,37,0,38,287,52.2648,17,87.0662,11.8,70.6
Cowlitz,R A Long High School,10,94,185,197,48,264,273,269,255,1175,77.5319,22,42.0444,17.5,72.2
Cowlitz,Olympic Elementary School,5,31,43,NA,24,61,61,0,64,370,70.2703,16,68.0328,15.6,82.6
Cowlitz,Northlake Elementary School,5,43,54,NA,26,78,78,0,78,417,63.3094,16,61.194,13.3,76.9
Cowlitz,Robert Gray Elementary,5,55,72,NA,22,96,96,0,96,352,70.4545,17,69.6429,10.1,71.4
Cowlitz,Mark Morris High School,10,138,215,205,93,226,234,236,217,1154,84.662,22,27.3603,18.8,69.2
Cowlitz,Columbia Heights Elementary,5,23,32,NA,10,54,53,0,58,361,84.4875,14,37.971,20.2,64
Cowlitz,Mint Valley Elementary,5,31,49,NA,16,77,78,0,80,458,77.7293,16,59.7778,12.3,58.6
Cowlitz,Toutle Lake High School,10,30,45,35,15,58,59,58,55,321,91.5888,17,22.082,20.5,89.5
Cowlitz,Toutle Lake Elementary,5,18,36,NA,12,44,44,0,44,320,88.4375,17,34.5794,15.8,68.4
Cowlitz,Castle Rock High School,10,45,99,98,33,118,115,116,116,505,94.0594,16,31.8458,14.2,67.7
Cowlitz,Castle Rock Elementary,5,41,63,NA,25,114,112,0,113,601,94.3428,19,35.1735,15.2,77.4
Cowlitz,Kalama Jr Sr High,10,69,83,78,19,96,95,96,96,608,94.5724,20,22.0513,12.4,66.7
Cowlitz,Kalama Elem School,5,51,66,NA,38,85,86,0,86,426,92.723,16,29.8578,11.6,70.4
Cowlitz,TEAM High School,10,10,23,28,1,23,27,28,21,59,93.2203,30,25.4237,8.1,50
Cowlitz,Woodland High School,10,93,132,117,70,164,158,161,153,646,87.4613,19,26.08,20.3,70.6
Cowlitz,Woodland Intermediate School,5,72,119,NA,58,163,162,0,166,486,85.3909,20,36.5462,11,58.3
Cowlitz,Kelso High School,10,158,344,341,104,381,394,383,376,1732,82.3903,21,35.0844,13,65.9
Cowlitz,Rose Valley Elementary,5,10,26,NA,6,33,33,0,33,151,88.7417,13,27.5641,22.5,83.3
Cowlitz,Wallace Elementary,5,12,24,NA,11,38,38,0,40,322,56.8323,15,81.5047,17.7,76.2
Cowlitz,Catlin Elementary,5,26,39,NA,5,54,53,0,62,321,79.7508,16,65.109,12,60
Cowlitz,Carrolls Elementary,5,9,15,NA,5,15,15,0,16,120,88.3333,12,26.9841,16.9,70
Cowlitz,Butler Acres Elementary,5,53,71,NA,30,86,87,0,89,384,83.8542,15,35.6962,14.1,76
Cowlitz,Barnes Elementary,5,17,33,NA,6,38,40,0,50,355,81.4085,14,63.2979,14,84
Cowlitz,Beacon Hill Elementary,5,47,69,NA,23,87,87,0,94,521,84.6449,19,40.7619,14.3,74.1
Douglas,Orondo Elementary,5,8,16,NA,10,24,24,0,26,234,28.2051,17,100,16.3,78.6
Douglas,Bridgeport Elementary,5,24,39,NA,6,57,57,0,57,360,17.2222,14,100,13.8,44
Douglas,Bridgeport High School,10,18,28,18,3,44,42,43,41,193,13.9896,16,100,13.1,50
Douglas,Palisades Elementary School,5,NA,NA,NA,1,9,9,0,10,39,7.69231,10,95,16.8,50
Douglas,Eastmont Senior High,10,195,325,334,128,428,432,430,422,1306,69.9847,19,35.8705,16.2,80
Douglas,Waterville Elementary,5,8,14,NA,5,16,16,0,16,113,85.8407,9,50,14.9,53.8
Douglas,Waterville High School,10,9,23,23,6,28,30,28,27,217,71.8894,12,47.6852,12,50
Ferry,Curlew Elem & High School,5,6,11,NA,4,18,18,0,18,235,88.5106,12,53.1915,9.5,55
Ferry,Curlew Elem & High School,10,10,20,13,7,20,21,21,20,235,88.5106,12,53.1915,9.5,55
Ferry,Orient Elem,5,4,8,NA,2,10,11,0,11,86,89.5349,17,55.814,13.8,80
Ferry,Inchelium High School,10,2,15,13,0,16,19,17,15,77,11.6883,7,73.3333,11.5,72.7
Ferry,Republic Elementary School,5,13,18,NA,5,29,29,0,29,203,93.1034,16,63.285,12.2,76.9
